[2024-02-21 09:32:22,858] <INFO> Начало работы программы
[2024-02-21 09:32:22,864] <INFO> COM1 - FabulaTech Virtual Serial Port Control (COM1)
[2024-02-21 09:32:22,864] <INFO> COM2 - FabulaTech Virtual Serial Port Control (COM2)
[2024-02-21 09:32:22,864] <INFO> COM3 - FabulaTech Virtual Serial Port Control (COM3)
[2024-02-21 09:32:22,866] <INFO> Успешное добавление прослушивания для COM1 на Принтер 192.168.9.76:9100
[2024-02-21 09:32:22,866] <INFO> Успешное подключение к COM1
[2024-02-21 09:32:22,867] <INFO> Успешное добавление прослушивания для COM2 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,869] <INFO> Успешное подключение к COM2
[2024-02-21 09:32:22,870] <INFO> Успешное добавление прослушивания для COM3 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,870] <INFO> Успешное подключение к COM3
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM4': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM5': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <INFO> Конец работы программы
[2024-02-21 09:32:22,901] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,036] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,104] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,207] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,307] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,408] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,510] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,617] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,711] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,811] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:23,915] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,015] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,114] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,217] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,317] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,419] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,520] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,621] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,722] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,823] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:24,925] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,027] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,127] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,226] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,329] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,431] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,531] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,632] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,733] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,836] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:25,936] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,037] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,039] <INFO> Заглушка Отправка на Зебру ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,137] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,237] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,340] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,440] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,543] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,643] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,745] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,847] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:26,948] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,046] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,148] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,251] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,350] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,451] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,553] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,655] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,756] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,857] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:27,958] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,060] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,160] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,261] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,362] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,464] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,563] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,666] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,766] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,866] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,969] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,070] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,172] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,272] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,372] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,475] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,577] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,677] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,777] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,881] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,982] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,081] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,181] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,283] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,384] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,486] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,587] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,687] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,787] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,890] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,989] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,093] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,193] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,293] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,396] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,497] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,598] <INFO> COM3 получил: ['0.445', 'kg\r\n']
